span_stat,span_end,unit_change,unit_slope,per_change,per_slope,station,scenario,season,poi,type
2009,2015,0.13,0.022,86,14,Blanchard,pre,offseason,srp,conc
2009,2015,0.063,0.01,69,12,Blanchard,pre,winter,srp,conc
2009,2015,0.015,0.0025,64,11,Raisin,pre,offseason,srp,conc
2009,2021,0.11,0.009,119,9.9,Blanchard,all,winter,srp,conc
2009,2021,0.18,0.015,118,9.8,Blanchard,all,offseason,srp,conc
2009,2021,0.025,0.002,107,8.9,Raisin,all,offseason,srp,conc
2009,2015,0.054,0.009,52,8.7,Blanchard,pre,spring,srp,conc
2009,2015,0.0095,0.0016,41,6.9,Raisin,pre,spring,srp,conc
2015,2021,0.02,0.0033,40,6.7,Sandusky,post,offseason,srp,conc
2009,2021,0.072,0.006,70,5.8,Blanchard,all,spring,srp,conc
2015,2021,0.045,0.0075,29,4.9,Blanchard,post,winter,srp,conc
2009,2021,0.025,0.0021,58,4.8,Sandusky,all,offseason,srp,conc
2009,2021,0.013,0.0011,55,4.6,Raisin,all,spring,srp,conc
2015,2021,0.0098,0.0016,26,4.3,Raisin,post,offseason,srp,conc
2009,2015,0.011,0.0019,24,4,Maumee,pre,offseason,srp,conc
2009,2015,0.0052,0.00087,22,3.6,Raisin,pre,winter,srp,conc
2015,2021,0.049,0.0082,17,2.9,Blanchard,post,offseason,srp,conc
2009,2015,0.01,0.0017,16,2.7,Tiffin,pre,offseason,srp,conc
2015,2021,0.0084,0.0014,14,2.4,Sandusky,post,spring,srp,conc
2009,2021,0.013,0.0011,27,2.2,Maumee,all,offseason,srp,conc
2009,2021,0.014,0.0012,27,2.2,Sandusky,all,spring,srp,conc
2009,2015,0.0055,0.00092,13,2.1,Sandusky,pre,offseason,srp,conc
2015,2021,0.018,0.003,11,1.9,Blanchard,post,spring,srp,conc
2009,2015,0.0059,0.00098,11,1.8,Sandusky,pre,spring,srp,conc
2015,2021,0.0032,0.00053,9.7,1.6,Raisin,post,spring,srp,conc
2015,2021,0.0042,7.00E-04,6.6,1.1,Sandusky,post,winter,srp,conc
2009,2015,0.0028,0.00046,6.2,1,Tiffin,pre,winter,srp,conc
2009,2015,0.0026,0.00044,5.5,0.91,Tiffin,pre,spring,srp,conc
2009,2015,0.0036,6.00E-04,3.3,0.56,Maumee,pre,winter,srp,conc
2015,2021,0.0014,0.00023,2.3,0.39,Maumee,post,offseason,srp,conc
2009,2021,0.0026,0.00022,4,0.34,Sandusky,all,winter,srp,conc
2015,2021,0.00048,8.10E-05,0.64,0.11,Honey,post,offseason,srp,conc
2009,2015,0.00039,6.60E-05,0.51,0.086,Honey,pre,spring,srp,conc
2015,2021,4.70E-05,7.80E-06,0.07,0.012,Maumee,post,spring,srp,conc
2009,2021,-0.00019,-1.50E-05,-0.77,-0.064,Raisin,all,winter,srp,conc
2009,2021,-0.001,-8.50E-05,-1.6,-0.14,Tiffin,all,offseason,srp,conc
2009,2021,-0.0033,-0.00027,-4.3,-0.36,Honey,all,spring,srp,conc
2009,2021,-0.0032,-0.00027,-4.6,-0.38,Maumee,all,spring,srp,conc
2009,2015,-0.0016,-0.00026,-2.4,-0.4,Sandusky,pre,winter,srp,conc
2009,2021,-0.0024,-2.00E-04,-5.1,-0.42,Tiffin,all,spring,srp,conc
2009,2015,-0.0023,-0.00039,-3,-0.5,Honey,pre,winter,srp,conc
2009,2015,-0.0033,-0.00055,-4.7,-0.78,Maumee,pre,spring,srp,conc
2015,2021,-0.0037,-0.00061,-4.8,-0.8,Honey,post,spring,srp,conc
2009,2021,-0.0084,-7.00E-04,-9.9,-0.83,Honey,all,offseason,srp,conc
2009,2021,-0.015,-0.0013,-14,-1.2,Maumee,all,winter,srp,conc
2009,2021,-0.011,-0.00089,-14,-1.2,Honey,all,winter,srp,conc
2009,2015,-0.0089,-0.0015,-10,-1.7,Honey,pre,offseason,srp,conc
2015,2021,-0.0051,-0.00085,-10,-1.7,Tiffin,post,spring,srp,conc
2009,2021,-0.009,-0.00075,-20,-1.7,Tiffin,all,winter,srp,conc
2015,2021,-0.0083,-0.0014,-11,-1.9,Honey,post,winter,srp,conc
2015,2021,-0.011,-0.0019,-15,-2.6,Tiffin,post,offseason,srp,conc
2015,2021,-0.019,-0.0031,-17,-2.8,Maumee,post,winter,srp,conc
2015,2021,-0.0054,-9.00E-04,-19,-3.1,Raisin,post,winter,srp,conc
2015,2021,-0.012,-0.002,-25,-4.2,Tiffin,post,winter,srp,conc
2009,2015,18,2.9,2.1,0.34,Maumee,pre,winter,srp,flux
2009,2021,-55,-4.6,-6.4,-0.53,Maumee,all,winter,srp,flux
2015,2021,-73,-12,-8.3,-1.4,Maumee,post,winter,srp,flux
2009,2015,2.9,0.48,8.6,1.4,Tiffin,pre,winter,srp,flux
2009,2021,-2.2,-0.18,-6.4,-0.53,Tiffin,all,winter,srp,flux
2015,2021,-5.1,-0.84,-14,-2.3,Tiffin,post,winter,srp,flux
2009,2015,6.3,1,12,2,Blanchard,pre,winter,srp,flux
2009,2021,12,1,23,2,Blanchard,all,winter,srp,flux
2015,2021,5.9,0.98,10,1.7,Blanchard,post,winter,srp,flux
2009,2015,12,2,6.3,1.1,Sandusky,pre,winter,srp,flux
2009,2021,24,2,13,1.1,Sandusky,all,winter,srp,flux
2015,2021,12,2.1,6.3,1,Sandusky,post,winter,srp,flux
2009,2015,0.86,0.14,2.9,0.48,Honey,pre,winter,srp,flux
2009,2021,-0.55,-0.046,-1.8,-0.15,Honey,all,winter,srp,flux
2015,2021,-1.4,-0.24,-4.6,-0.76,Honey,post,winter,srp,flux
2009,2015,9.6,1.6,24,4,Raisin,pre,winter,srp,flux
2009,2021,2.7,0.22,6.6,0.55,Raisin,all,winter,srp,flux
2015,2021,-7,-1.2,-14,-2.3,Raisin,post,winter,srp,flux
2009,2015,-26,-4.4,-3.4,-0.57,Maumee,pre,spring,srp,flux
2009,2021,-70,-5.9,-9.1,-0.76,Maumee,all,spring,srp,flux
2015,2021,-44,-7.3,-5.9,-0.98,Maumee,post,spring,srp,flux
2009,2015,1.8,0.31,5.8,0.97,Tiffin,pre,spring,srp,flux
2009,2021,-2.2,-0.19,-7,-0.58,Tiffin,all,spring,srp,flux
2015,2021,-4.1,-0.68,-12,-2,Tiffin,post,spring,srp,flux
2009,2015,7.4,1.2,16,2.7,Blanchard,pre,spring,srp,flux
2009,2021,13,1.1,27,2.3,Blanchard,all,spring,srp,flux
2015,2021,5.2,0.87,9.8,1.6,Blanchard,post,spring,srp,flux
2009,2015,14,2.3,9.8,1.6,Sandusky,pre,spring,srp,flux
2009,2021,28,2.3,19,1.6,Sandusky,all,spring,srp,flux
2015,2021,14,2.3,8.7,1.5,Sandusky,post,spring,srp,flux
2009,2015,2,0.33,8.3,1.4,Honey,pre,spring,srp,flux
2009,2021,1.2,0.1,5.1,0.43,Honey,all,spring,srp,flux
2015,2021,-0.74,-0.12,-2.9,-0.48,Honey,post,spring,srp,flux
2009,2015,10,1.7,29,4.8,Raisin,pre,spring,srp,flux
2009,2021,7.8,0.65,21,1.8,Raisin,all,spring,srp,flux
2015,2021,-2.7,-0.45,-5.8,-0.96,Raisin,post,spring,srp,flux
2009,2015,29,4.8,14,2.4,Maumee,pre,offseason,srp,flux
2009,2021,37,3.1,19,1.6,Maumee,all,offseason,srp,flux
2015,2021,8.7,1.5,3.8,0.64,Maumee,post,offseason,srp,flux
2009,2015,2.7,0.46,23,3.9,Tiffin,pre,offseason,srp,flux
2009,2021,-0.21,-0.017,-1.8,-0.15,Tiffin,all,offseason,srp,flux
2015,2021,-2.9,-0.49,-20,-3.4,Tiffin,post,offseason,srp,flux
2009,2015,4.6,0.77,23,3.9,Blanchard,pre,offseason,srp,flux
2009,2021,7.7,0.64,38,3.2,Blanchard,all,offseason,srp,flux
2015,2021,3,0.51,12,2.1,Blanchard,post,offseason,srp,flux
2009,2015,6.5,1.1,12,2,Sandusky,pre,offseason,srp,flux
2009,2021,18,1.5,34,2.8,Sandusky,all,offseason,srp,flux
2015,2021,12,2,19,3.2,Sandusky,post,offseason,srp,flux
2009,2015,-0.18,-0.03,-1.5,-0.25,Honey,pre,offseason,srp,flux
2009,2021,-0.071,-0.0059,-0.6,-0.05,Honey,all,offseason,srp,flux
2015,2021,0.11,0.018,0.94,0.16,Honey,post,offseason,srp,flux
2009,2015,5.5,0.92,39,6.6,Raisin,pre,offseason,srp,flux
2009,2021,6.4,0.53,46,3.8,Raisin,all,offseason,srp,flux
2015,2021,0.85,0.14,4.3,0.72,Raisin,post,offseason,srp,flux
2009,2015,0.0049,0.00082,2.8,0.47,Maumee,pre,offseason,tp,conc
2009,2021,0.017,0.0014,9.8,0.81,Maumee,all,offseason,tp,conc
2015,2021,0.012,0.002,6.7,1.1,Maumee,post,offseason,tp,conc
2009,2015,0.019,0.0031,11,1.9,Tiffin,pre,offseason,tp,conc
2009,2021,-0.0042,-0.00035,-2.5,-0.21,Tiffin,all,offseason,tp,conc
2015,2021,-0.023,-0.0038,-12,-2,Tiffin,post,offseason,tp,conc
2009,2015,0.12,0.02,48,8,Blanchard,pre,offseason,tp,conc
2009,2021,0.19,0.016,73,6.1,Blanchard,all,offseason,tp,conc
2015,2021,0.064,0.011,17,2.8,Blanchard,post,offseason,tp,conc
2009,2015,-0.0052,-0.00087,-3.7,-0.61,Sandusky,pre,offseason,tp,conc
2009,2021,0.039,0.0033,28,2.3,Sandusky,all,offseason,tp,conc
2015,2021,0.044,0.0074,33,5.4,Sandusky,post,offseason,tp,conc
2009,2015,0.00073,0.00012,0.48,0.08,Honey,pre,offseason,tp,conc
2009,2021,0.024,0.002,16,1.3,Honey,all,offseason,tp,conc
2015,2021,0.023,0.0038,15,2.5,Honey,post,offseason,tp,conc
2009,2015,0.016,0.0027,22,3.6,Raisin,pre,offseason,tp,conc
2009,2021,0.023,0.0019,30,2.5,Raisin,all,offseason,tp,conc
2015,2021,0.0064,0.0011,7.1,1.2,Raisin,post,offseason,tp,conc
2009,2015,67,11,11,1.8,Maumee,pre,offseason,tp,flux
2009,2021,113,9.4,18,1.5,Maumee,all,offseason,tp,flux
2015,2021,46,7.6,6.5,1.1,Maumee,post,offseason,tp,flux
2009,2015,7,1.2,22,3.7,Tiffin,pre,offseason,tp,flux
2009,2021,2.5,0.21,8,0.67,Tiffin,all,offseason,tp,flux
2015,2021,-4.5,-0.75,-12,-2,Tiffin,post,offseason,tp,flux
2009,2015,5.4,0.9,12,2,Blanchard,pre,offseason,tp,flux
2009,2021,16,1.3,34,2.8,Blanchard,all,offseason,tp,flux
2015,2021,10,1.7,20,3.3,Blanchard,post,offseason,tp,flux
2009,2015,19,3.1,12,2.1,Sandusky,pre,offseason,tp,flux
2009,2021,83,6.9,55,4.6,Sandusky,all,offseason,tp,flux
2015,2021,64,11,38,6.3,Sandusky,post,offseason,tp,flux
2009,2015,1.6,0.26,6.6,1.1,Honey,pre,offseason,tp,flux
2009,2021,6.1,0.51,25,2.1,Honey,all,offseason,tp,flux
2015,2021,4.5,0.76,18,2.9,Honey,post,offseason,tp,flux
2009,2015,13,2.2,33,5.5,Raisin,pre,offseason,tp,flux
2009,2021,12,1,30,2.5,Raisin,all,offseason,tp,flux
2015,2021,-1,-0.17,-1.9,-0.31,Raisin,post,offseason,tp,flux
2009,2015,-0.013,-0.0022,-5,-0.83,Maumee,pre,spring,tp,conc
2009,2021,0.014,0.0012,5.4,0.45,Maumee,all,spring,tp,conc
2015,2021,0.027,0.0045,11,1.8,Maumee,post,spring,tp,conc
2009,2015,0.016,0.0027,9,1.5,Tiffin,pre,spring,tp,conc
2009,2021,0.021,0.0018,12,0.99,Tiffin,all,spring,tp,conc
2015,2021,0.0051,0.00085,2.6,0.44,Tiffin,post,spring,tp,conc
2009,2015,0.047,0.0078,17,2.9,Blanchard,pre,spring,tp,conc
2009,2021,0.081,0.0067,30,2.5,Blanchard,all,spring,tp,conc
2015,2021,0.034,0.0057,11,1.8,Blanchard,post,spring,tp,conc
2009,2015,-0.005,-0.00083,-2,-0.34,Sandusky,pre,spring,tp,conc
2009,2021,0.044,0.0037,18,1.5,Sandusky,all,spring,tp,conc
2015,2021,0.049,0.0082,20,3.4,Sandusky,post,spring,tp,conc
2009,2015,0.0079,0.0013,3.4,0.56,Honey,pre,spring,tp,conc
2009,2021,0.029,0.0024,12,1,Honey,all,spring,tp,conc
2015,2021,0.021,0.0035,8.6,1.4,Honey,post,spring,tp,conc
2009,2015,0.02,0.0033,21,3.5,Raisin,pre,spring,tp,conc
2009,2021,0.04,0.0033,42,3.5,Raisin,all,spring,tp,conc
2015,2021,0.02,0.0033,17,2.9,Raisin,post,spring,tp,conc
2009,2015,-132,-22,-4,-0.66,Maumee,pre,spring,tp,flux
2009,2021,277,23,8.3,0.69,Maumee,all,spring,tp,flux
2015,2021,409,68,13,2.1,Maumee,post,spring,tp,flux
2009,2015,14,2.3,12,2,Tiffin,pre,spring,tp,flux
2009,2021,24,2,21,1.7,Tiffin,all,spring,tp,flux
2015,2021,9.9,1.6,7.6,1.3,Tiffin,post,spring,tp,flux
2009,2015,0.31,0.051,0.16,0.027,Blanchard,pre,spring,tp,flux
2009,2021,23,1.9,12,1,Blanchard,all,spring,tp,flux
2015,2021,23,3.8,12,2,Blanchard,post,spring,tp,flux
2009,2015,0.89,0.15,0.12,0.02,Sandusky,pre,spring,tp,flux
2009,2021,152,13,21,1.7,Sandusky,all,spring,tp,flux
2015,2021,151,25,21,3.5,Sandusky,post,spring,tp,flux
2009,2015,6.2,1,6.8,1.1,Honey,pre,spring,tp,flux
2009,2021,16,1.3,18,1.5,Honey,all,spring,tp,flux
2015,2021,9.6,1.6,10,1.7,Honey,post,spring,tp,flux
2009,2015,36,6,23,3.9,Raisin,pre,spring,tp,flux
2009,2021,75,6.3,49,4,Raisin,all,spring,tp,flux
2015,2021,39,6.5,21,3.4,Raisin,post,spring,tp,flux
2009,2015,37,6.2,1.2,0.19,Maumee,pre,winter,tp,flux
2009,2021,300,25,9.5,0.79,Maumee,all,winter,tp,flux
2015,2021,263,44,8.2,1.4,Maumee,post,winter,tp,flux
2009,2015,12,2,12,2,Tiffin,pre,winter,tp,flux
2009,2021,16,1.3,16,1.3,Tiffin,all,winter,tp,flux
2015,2021,3.7,0.62,3.5,0.58,Tiffin,post,winter,tp,flux
2009,2015,9.4,1.6,5.4,0.89,Blanchard,pre,winter,tp,flux
2009,2021,32,2.6,18,1.5,Blanchard,all,winter,tp,flux
2015,2021,22,3.7,12,2,Blanchard,post,winter,tp,flux
2009,2015,56,9.4,7.8,1.3,Sandusky,pre,winter,tp,flux
2009,2021,205,17,29,2.4,Sandusky,all,winter,tp,flux
2015,2021,149,25,19,3.2,Sandusky,post,winter,tp,flux
2009,2015,9.6,1.6,10,1.7,Honey,pre,winter,tp,flux
2009,2021,9.9,0.83,11,0.89,Honey,all,winter,tp,flux
2015,2021,0.26,0.043,0.25,0.042,Honey,post,winter,tp,flux
2009,2015,44,7.4,31,5.2,Raisin,pre,winter,tp,flux
2009,2021,50,4.2,36,3,Raisin,all,winter,tp,flux
2015,2021,6.2,1,3.3,0.56,Raisin,post,winter,tp,flux
2009,2015,0.0022,0.00037,0.85,0.14,Maumee,pre,winter,tp,conc
2009,2021,0.0066,0.00055,2.5,0.21,Maumee,all,winter,tp,conc
2015,2021,0.0044,0.00073,1.7,0.28,Maumee,post,winter,tp,conc
2009,2015,0.011,0.0018,8.9,1.5,Tiffin,pre,winter,tp,conc
2009,2021,0.0024,2.00E-04,2,0.17,Tiffin,all,winter,tp,conc
2015,2021,-0.0084,-0.0014,-6.4,-1.1,Tiffin,post,winter,tp,conc
2009,2015,0.072,0.012,34,5.6,Blanchard,pre,winter,tp,conc
2009,2021,0.13,0.011,63,5.3,Blanchard,all,winter,tp,conc
2015,2021,0.063,0.01,22,3.7,Blanchard,post,winter,tp,conc
2009,2015,0.0051,0.00085,2.6,0.44,Sandusky,pre,winter,tp,conc
2009,2021,0.045,0.0037,23,1.9,Sandusky,all,winter,tp,conc
2015,2021,0.04,0.0066,20,3.3,Sandusky,post,winter,tp,conc
2009,2015,0.015,0.0024,7.9,1.3,Honey,pre,winter,tp,conc
2009,2021,0.015,0.0012,7.8,0.65,Honey,all,winter,tp,conc
2015,2021,-7.50E-05,-1.30E-05,-0.037,-0.0062,Honey,post,winter,tp,conc
2009,2015,0.024,0.0039,29,4.8,Raisin,pre,winter,tp,conc
2009,2021,0.016,0.0013,19,1.6,Raisin,all,winter,tp,conc
2015,2021,-0.0078,-0.0013,-7.4,-1.2,Raisin,post,winter,tp,conc
